video_id,subset,action,class_id,start_frame,end_frame,bbox,tensor_path,file_exists
10893,train,"[82, 1, 50]",34,1,50,"[39, 3, 291, 240]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/10893.pt,True
10892,train,"[82, 1, 203]",34,1,203,"[82, 11, 250, 180]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/10892.pt,True
10895,train,"[82, 1, 108]",34,1,108,"[98, 9, 579, 480]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/10895.pt,True
10894,train,"[82, 1, 39]",34,1,39,"[569, 84, 1595, 1077]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/10894.pt,True
51064,train,"[46, 1, 83]",19,1,83,"[62, 17, 214, 192]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/51064.pt,True
51061,train,"[46, 1, 66]",19,1,66,"[53, 0, 527, 480]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/51061.pt,True
51060,train,"[46, 1, 41]",19,1,41,"[737, 78, 1666, 1077]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/51060.pt,True
43180,train,"[69, 1, 68]",28,1,68,"[182, 37, 559, 400]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/43180.pt,True
56839,train,"[48, 1, 41]",20,1,41,"[620, 70, 1619, 1070]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/56839.pt,True
56838,train,"[48, 1, 82]",20,1,82,"[182, 1, 526, 414]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/56838.pt,True
56837,train,"[48, 1, 92]",20,1,92,"[64, 0, 264, 240]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/56837.pt,True
06334,train,"[53, 1, 20]",22,1,20,"[656, 92, 1563, 1064]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/06334.pt,True
06337,train,"[53, 1, 55]",22,1,55,"[71, 18, 210, 192]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/06337.pt,True
06331,train,"[53, 1, 63]",22,1,63,"[37, 6, 256, 240]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/06331.pt,True
06333,train,"[53, 1, 37]",22,1,37,"[726, 78, 1601, 1077]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/06333.pt,True
06332,train,"[53, 1, 78]",22,1,78,"[219, 16, 530, 414]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/06332.pt,True
11768,train,"[55, 1, 58]",24,1,58,"[404, 53, 799, 720]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/11768.pt,True
11769,train,"[55, 1, 45]",24,1,45,"[760, 66, 1612, 1062]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/11769.pt,True
11767,train,"[55, 1, 63]",24,1,63,"[231, 17, 522, 414]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/11767.pt,True
64292,train,"[17, 1, 41]",11,1,41,"[79, 23, 212, 192]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/64292.pt,True
64291,train,"[17, 1, 48]",11,1,48,"[81, 25, 212, 192]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/64291.pt,True
65504,train,"[60, 1, 50]",26,1,50,"[146, 16, 458, 370]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/65504.pt,True
65503,train,"[60, 1, 50]",26,1,50,"[158, 18, 452, 370]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/65503.pt,True
45443,train,"[94, 1, 66]",37,1,66,"[153, 54, 563, 400]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/45443.pt,True
05734,train,"[3, 1, 69]",1,1,69,"[129, 0, 555, 480]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/05734.pt,True
05730,train,"[3, 1, 32]",1,1,32,"[712, 64, 1652, 1080]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/05730.pt,True
05731,train,"[3, 1, 47]",1,1,47,"[570, 98, 1535, 1080]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/05731.pt,True
05732,train,"[3, 1, 73]",1,1,73,"[103, 25, 528, 480]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/05732.pt,True
05733,train,"[3, 1, 92]",1,1,92,"[95, 23, 533, 480]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/05733.pt,True
65029,train,"[76, 1, 69]",31,1,69,"[129, 22, 473, 370]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/65029.pt,True
63208,train,"[49, 1, 33]",21,1,33,"[73, 13, 224, 192]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/63208.pt,True
63204,train,"[49, 1, 39]",21,1,39,"[745, 44, 1532, 1080]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/63204.pt,True
