video_id,subset,action,class_id,start_frame,end_frame,bbox,tensor_path,file_exists
10893,train,"[82, 1, 50]",54,1,50,"[39, 3, 291, 240]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/10893.pt,True
10892,train,"[82, 1, 203]",54,1,203,"[82, 11, 250, 180]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/10892.pt,True
10895,train,"[82, 1, 108]",54,1,108,"[98, 9, 579, 480]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/10895.pt,True
10894,train,"[82, 1, 39]",54,1,39,"[569, 84, 1595, 1077]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/10894.pt,True
51064,train,"[46, 1, 83]",29,1,83,"[62, 17, 214, 192]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/51064.pt,True
51061,train,"[46, 1, 66]",29,1,66,"[53, 0, 527, 480]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/51061.pt,True
51060,train,"[46, 1, 41]",29,1,41,"[737, 78, 1666, 1077]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/51060.pt,True
66779,train,"[7, 1, 56]",4,1,56,"[167, 3, 471, 370]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/66779.pt,True
66778,train,"[7, 1, 60]",4,1,60,"[165, 4, 472, 370]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/66778.pt,True
65278,train,"[80, 1, 63]",52,1,63,"[151, 11, 502, 370]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/65278.pt,True
43180,train,"[69, 1, 68]",43,1,68,"[182, 37, 559, 400]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/43180.pt,True
57291,train,"[98, 1, 70]",62,1,70,"[186, 52, 541, 400]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/57291.pt,True
56839,train,"[48, 1, 41]",30,1,41,"[620, 70, 1619, 1070]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/56839.pt,True
56838,train,"[48, 1, 82]",30,1,82,"[182, 1, 526, 414]",/home/vedant/Code/AI_ML_RL_RO/Projects/sign_language_detection/data/processed/train/56838.pt,True
